date,geography,geography code,Rural Urban,Sex: All persons; Economic Activity: All usual residents aged 16 to 74; measures: Value,Sex: All persons; Economic Activity: Economically active; measures: Value,Sex: All persons; Economic Activity: Economically active: In employment; measures: Value,Sex: All persons; Economic Activity: Economically active: Employee: Part-time; measures: Value,Sex: All persons; Economic Activity: Economically active: Employee: Full-time; measures: Value,Sex: All persons; Economic Activity: Economically active: Self-employed; measures: Value,Sex: All persons; Economic Activity: Economically active: Unemployed; measures: Value,Sex: All persons; Economic Activity: Economically active: Full-time student; measures: Value,Sex: All persons; Economic Activity: Economically Inactive; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Retired; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Sex: All persons; Economic Activity: Economically inactive: Looking after home or family; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Other; measures: Value,Sex: All persons; Economic Activity: Unemployed: Age 16 to 24; measures: Value,Sex: All persons; Economic Activity: Unemployed: Age 50 to 74; measures: Value,Sex: All persons; Economic Activity: Unemployed: Never worked; measures: Value,Sex: All persons; Economic Activity: Long-term unemployed; measures: Value,Sex: Males; Economic Activity: All usual residents aged 16 to 74; measures: Value,Sex: Males; Economic Activity: Economically active; measures: Value,Sex: Males; Economic Activity: Economically active: In employment; measures: Value,Sex: Males; Economic Activity: Economically active: Employee: Part-time; measures: Value,Sex: Males; Economic Activity: Economically active: Employee: Full-time; measures: Value,Sex: Males; Economic Activity: Economically active: Self-employed; measures: Value,Sex: Males; Economic Activity: Economically active: Unemployed; measures: Value,Sex: Males; Economic Activity: Economically active: Full-time student; measures: Value,Sex: Males; Economic Activity: Economically Inactive; measures: Value,Sex: Males; Economic Activity: Economically inactive: Retired; measures: Value,Sex: Males; Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Sex: Males; Economic Activity: Economically inactive: Looking after home or family; measures: Value,Sex: Males; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Sex: Males; Economic Activity: Economically inactive: Other; measures: Value,Sex: Males; Economic Activity: Unemployed: Age 16 to 24; measures: Value,Sex: Males; Economic Activity: Unemployed: Age 50 to 74; measures: Value,Sex: Males; Economic Activity: Unemployed: Never worked; measures: Value,Sex: Males; Economic Activity: Long-term unemployed; measures: Value,Sex: Females; Economic Activity: All usual residents aged 16 to 74; measures: Value,Sex: Females; Economic Activity: Economically active; measures: Value,Sex: Females; Economic Activity: Economically active: In employment; measures: Value,Sex: Females; Economic Activity: Economically active: Employee: Part-time; measures: Value,Sex: Females; Economic Activity: Economically active: Employee: Full-time; measures: Value,Sex: Females; Economic Activity: Economically active: Self-employed; measures: Value,Sex: Females; Economic Activity: Economically active: Unemployed; measures: Value,Sex: Females; Economic Activity: Economically active: Full-time student; measures: Value,Sex: Females; Economic Activity: Economically Inactive; measures: Value,Sex: Females; Economic Activity: Economically inactive: Retired; measures: Value,Sex: Females; Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Sex: Females; Economic Activity: Economically inactive: Looking after home or family; measures: Value,Sex: Females; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Sex: Females; Economic Activity: Economically inactive: Other; measures: Value,Sex: Females; Economic Activity: Unemployed: Age 16 to 24; measures: Value,Sex: Females; Economic Activity: Unemployed: Age 50 to 74; measures: Value,Sex: Females; Economic Activity: Unemployed: Never worked; measures: Value,Sex: Females; Economic Activity: Long-term unemployed; measures: Value,RowID
2011,Slough,E06000039,Total,100458,73819,64422,11886,43610,8926,5440,3957,26639,7517,5813,6555,3388,3366,1303,865,1014,2121,50452,40732,35665,3376,25453,6836,3027,2040,9720,3225,2982,424,1743,1346,782,580,472,1137,50006,33087,28757,8510,18157,2090,2413,1917,16919,4292,2831,6131,1645,2020,521,285,542,984,229
2011,Southampton,E06000045,Total,180201,123193,103902,22856,68082,12964,7631,11660,57008,17775,20857,7449,7330,3597,2191,1217,1117,2958,92233,66841,56371,5185,41248,9938,4659,5811,25392,7665,11571,735,3867,1554,1369,840,633,1670,87968,56352,47531,17671,26834,3026,2972,5849,31616,10110,9286,6714,3463,2043,822,377,484,1288,230
2011,West Berkshire,E06000037,Total,112054,85401,79342,15567,51084,12691,3279,2780,26653,14094,3799,4769,2420,1571,850,839,311,1210,55877,45822,42621,2726,31339,8556,1929,1272,10055,5960,1906,315,1216,658,556,531,199,642,56177,39579,36721,12841,19745,4135,1350,1508,16598,8134,1893,4454,1204,913,294,308,112,568,231
2011,Windsor and Maidenhead,E06000040,Total,104247,77650,71967,12727,46337,12903,3292,2391,26597,13366,4598,5016,1834,1783,802,768,361,1243,51766,41769,38771,2552,27691,8528,1894,1104,9997,5659,2449,271,909,709,540,495,201,646,52481,35881,33196,10175,18646,4375,1398,1287,16600,7707,2149,4745,925,1074,262,273,160,597,232
2011,Wokingham,E06000041,Total,112273,84912,78623,15282,51260,12081,2958,3331,27361,14976,4441,4799,1742,1403,724,757,335,1035,55658,45346,42176,2600,31296,8280,1641,1529,10312,6388,2225,236,860,603,447,445,187,518,56615,39566,36447,12682,19964,3801,1317,1802,17049,8588,2216,4563,882,800,277,312,148,517,233
2011,Aylesbury Vale,E07000004,Total,126740,95242,87978,17751,54696,15531,3869,3395,31498,15684,5151,5375,2821,2467,1004,895,441,1397,63027,50701,46830,3430,32688,10712,2301,1570,12326,6515,2621,384,1421,1385,659,575,273,748,63713,44541,41148,14321,22008,4819,1568,1825,19172,9169,2530,4991,1400,1082,345,320,168,649,234
2011,Chiltern,E07000005,Total,65043,46743,43418,8854,24978,9586,1728,1597,18300,10038,2715,3303,1227,1017,412,468,183,645,31787,25015,23224,1583,15336,6305,1057,734,6772,4168,1388,160,637,419,265,315,109,357,33256,21728,20194,7271,9642,3281,671,863,11528,5870,1327,3143,590,598,147,153,74,288,235
2011,South Bucks,E07000006,Total,47802,34581,32159,5643,19666,6850,1267,1155,13221,6914,2142,2429,878,858,322,346,156,435,23358,18662,17386,1008,11730,4648,752,524,4696,2798,1027,143,414,314,215,227,87,232,24444,15919,14773,4635,7936,2202,515,631,8525,4116,1115,2286,464,544,107,119,69,203,236
2011,Wycombe,E07000007,Total,124188,91315,82833,16001,51724,15108,4023,4459,32873,15713,6331,6138,2434,2257,1010,903,565,1478,61745,49430,44988,3359,31232,10397,2306,2136,12315,6574,3258,363,1234,886,635,554,310,801,62443,41885,37845,12642,20492,4711,1717,2323,20558,9139,3073,5775,1200,1371,375,349,255,677,237
2011,Eastbourne,E07000061,Total,70473,47926,42342,10395,24700,7247,2874,2710,22547,11829,3632,2645,3192,1249,768,624,308,1181,34259,25110,22063,2408,14394,5261,1769,1278,9149,4815,1837,263,1631,603,507,423,208,655,36214,22816,20279,7987,10306,1986,1105,1432,13398,7014,1795,2382,1561,646,261,201,100,526,238
